"","text","score"
"44","belated birthday amp early mother’s day date with my girls <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> not sure about the shadow down libs <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35>",-1
"45","beautiful<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E62> it s really great thank you for everything fo…",2
"46","happy birthday myname mommy <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35> we love you and appreciate you taking care to the babies in the group <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35> seriously thou…",3
"47","mom daughter necklace set
 …",0
"48","you don’t want to restrict yourself when it comes to your work more for gemini",0
"49","also happy birthday to one of the most precious human being in my life i miss you so so so much and i hope you re happy and h…",2
"50","there’s my girls can’t wait to come to your passing out ball …",0
"51","i hope insoo s been having a good time at the animal shelter with mygirls <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61> i wish i could ve gone but i think i applied too…",1
"52","will always love these special two <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E65>",1
"53","hello dreamcatcher’s st concert in seoul i love mygirls",1
"54","gotta tackle the mountain",0
"55","mygirls good morning and have a good day like our group s name <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E61> hwaiting 
 …",3
"56","and know i go hard for them <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E39> if a ugly bitch gone come for me make sure her beard is gone…",-3
"57","game day for my girls travelling to penwortham town fc for a friendly <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E63><U+2764><U+FE0F><U+26BD><U+FE0F>",1
"58","happy birthday to insoo from usa from mygirls and insmile s",1
"59","saturday night fever at mygirls tonight <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E33> so many to choose from call for a detailed description <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64>",-1
"60","goodluck mygirls <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E61>",0
"61","my girls when we were in puerto rico …",0
"62","one of the greatest things of my life",1
"63","i hope insoo s been having a good time at the animal shelter with mygirls <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61> i wish i could ve gone but i think i applied too late",1
"64","ovo khris skyalana the loves of my life",1
"65","most peaceful boygroup fandoms in kpop

 bana
 starlight
 honey 
 mygirls
 melody
 primadonna
 halove
 hottest
 m…",2
"66","my kids love sushi and shishito peppers …",1
"67","they make my life perfect costa mesa california",1
"68","most peaceful boygroup fandoms in kpop

 bana
 starlight
 honey 
 mygirls
 melody
 primadonna
 halove
 hot…",1
"69","titi is better than the bed",1
"70","we found a forest in the desert …",-1
"71","do you have a birthday coming up or do you just want to party celebrate with us 

 …",1
"72","burson marsteller s mygirls campaign china",0
"73","teamwork makes the dream work <U+2764>
 …",1
"74","kkkkkkkkkkkkk scrr",0
"75","always so many laughs in this class <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+393C><U+3E30>",0
"76","also happy birthday to one of the most precious human being in my life i miss you so so so much and i hope you re…",1
"77","sending the happiest birthday wishes to <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E62> …",0
"78","luv this lil lady <U+2764><U+FE0F>",0
"79","<U+2501> hi <U+2200> <U+30CE>~ <U+2661> 

this is new pics account to myname s junq
i hope mygirls myboys amp fans support me <U+0669> <U+25D5><U+203F><U+25D5> <U+06F6>

 …",2
"80","what u lookin’ at <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E38> …",0
"81","a nite out with these two beautiful ladies",1
"82","these two on the arm tonight <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64> the park liverpool",0
"83","it s honoring fellows amp and congra…",1
"84","remix by mygirls ft insoo amp seyong",0
"85","the argument that ensues over who gets to wear a tatty pair of pants what…",0
"86","as far as my girls i will raise them to think they breathe fire",0
"87","this is what a ten year age difference looks like",1
"88","anything i can do they can do better",1
"89","when the yo takes pictures <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35>",0
"90","my reasons for just about everything",0
"91","she s so gorgeous in her tutu and pearls but i just can help but love this picture <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64>
 …",2
"92","the friends are the family that one chooses <U+2764> mygirls <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E66> myboy <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E62>
• w…",0
"93","my goregous girls <U+2764>",0
"94","inspire me years after her death age is woman in wales 
we will de…",0
"95","happy birthday myname mommy <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35> we love you and appreciate you taking care to the babies in the group <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35> seriou…",3
