"","text","score"
"36","perfect day to rock the kith x nonnatives <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E66>",1
"37","saturdayy vibes w another pair of laceless ultraboost<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E66><U+2764><U+FE0F>",0
"38","practice makes perfect <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E66>",1
"39","were invited to the studios in brick lane tonight for …",0
"40","less than minutes away from the beginning of dreams coming true lewis palmer and longmont get us…",0
"41","major shout out to for the hookup after my order got cancelled glad to finally have these in hand as well as a fi…",2
"42","mo speed <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E38>",0
"43","kotd 
 
 
what’s on everyone else feet and did you ride the wave this morning 
 
 …",0
"44","amp our supporters get a s o in review of our secondary kit <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E36><U+613C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E31> take a look <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E33><U+623C><U+3E64><U+FE0F> …",0
"45","creativity isn t a phase it s a lifestyle i m",0
"46","a front yard obstacle training course light rehab for dad fun soccer training for the kids …",0
"47","has always dominated the soccer market",1
"48","this is but u have to be willing to do it don’t get “pulled in” by your pessimistic amp …",0
"49","had to add a lil flavor to the nbhd iniki 
 
 
 
 
 
 …",0
"50","i had to fight not just with my opponents in the race but also with the course today <U+2694><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E30><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>
this is cross country runn…",0
"51","marketing is a grind make it part of your routine
 
 
 …",-1
"52","grrrrrrrrrrrrrr don’t worry france has made your day better by beating england in the …",0
"53","retweeted adidas uk 

going into the weekend like",1
"54","step up to the streets 
the new ub available now here",1
"55","i had to fight not just with my opponents in the race but also with the course today <U+2694><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E30><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>
this is cross country r…",0
"56","created for winter glory the new and kit for pyeongchang is here 
explore the fan range at http…",1
"57","new icon jersey <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>",0
"58","an masterclass 
watch episode of feat amp patrick cutrone now…",1
"59","major shout out to for the hookup after my order got cancelled glad to finally have these in hand as well…",1
"60","another year to remember 
leo messi is",0
"61","watch me take over the new adidas football video <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E63>",0
"62","united <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61>",0
"63","so who do you guys have in the stanley cup finals or who would you like to see in the…",1
"64","calling all creators",0
"65","watch me create 
directed by leo messi amp",0
"66","weekend plans <U+2744><U+FE0F>",0
"67","watch me create 
 by leo messi",0
"68","rt adidasuk going into the weekend like",1
"69","manutd rt adidasuk going into the weekend like",1
"70","my new work what do you think is it worthy for 
and like i said i m …",3
"71","excited to announce that will be running with in the 

 htt…",1
"72","at <U+7ACB><U+5DDD><U+7ACB><U+98DB>
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E64><U+26A1><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E63>
 
 
 
 
 
 …",0
"73","on the road to more agile digital solutions 

serdar is 

discover your story at adidas careers …",1
"74","more than a jersey review the ’ primary kit which will debut this saturday 

 …",0
"75","new profil pic <U+263A><U+FE0F>",0
"76","world x equality 

pharrelll hu holi nmd trail
“blank canvas”",0
"77","when the pressure is high rise above it 
leo messi leads to the world cup <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E36>",1
